id,seq,dec,raw_t,raw_tgo,d_sender,d_self,d_self_sender,raw_timeout
22,8,5,297174940899737,0,0,1026.65,1026.65,297174940899737
20,8,3,297174940933256,0,1026.65,273.785,857.643,297174940933256
16,8,2,297174940933256,0,1026.65,0.757899,1027.1,297174940933256
20,8,4,297174941019743,0,0,273.803,273.803,297174941019743
22,8,4,297174941019746,0,0,1025.58,1025.58,297174941019746
23,0,1,297174941201394,0,0,0,0,297174941201394
18,6,1,297174941203918,0,0,0,0,297174941203918
11,17,1,297174941222232,0,0,0,0,297174941222232
20,4,1,297174941226473,0,0,0,0,297174941226473
19,5,1,297174941226538,0,0,0,0,297174941226538
16,4,5,297174941226681,0,0,273.483,273.483,297174941226681
22,4,5,297174941226683,0,0,852.492,852.492,297174941226683
4,26,1,297174941233739,0,0,0,0,297174941233739
12,16,1,297174941235950,0,0,0,0,297174941235950
17,7,1,297174941236872,0,0,0,0,297174941236872
1,30,1,297174941238438,0,0,0,0,297174941238438
20,4,2,297174941242493,0,853.191,0,853.191,297174941242493
16,4,2,297174941242493,0,853.191,273.483,1026.03,297174941242493
6,24,1,297174941247360,0,0,0,0,297174941247360
8,22,1,297174941253737,0,0,0,0,297174941253737
21,3,1,297174941255181,0,0,0,0,297174941255181
10,20,1,297174941256843,0,0,0,0,297174941256843
7,23,1,297174941267887,0,0,0,0,297174941267887
14,13,1,297174941275068,0,0,0,0,297174941275068
0,31,1,297174941285794,0,0,0,0,297174941285794
5,25,1,297174941295715,0,0,0,0,297174941295715
20,4,4,297174941359743,0,273.483,0.849092,273.636,297174941359743
22,4,4,297174941359745,0,273.483,851.791,1024.51,297174941359745
22,1,1,297174941573044,0,0,0,0,297174941573044
20,1,5,297174941573259,0,0,848.045,848.045,297174941573259
22,1,2,297174941589511,0,848.045,0,848.045,297174941589511
16,9,1,297174941899529,0,0,0,0,297174941899529
20,9,5,297174941899736,0,0,272.025,272.025,297174941899736
22,9,5,297174941899738,0,0,1021.98,1021.98,297174941899738
20,9,3,297174941933256,0,1021.98,272.234,842.746,297174941933256
16,9,3,297174941933257,0,1021.98,0.844527,1021.78,297174941933257
23,1,1,297174942201394,0,0,0,0,297174942201394
18,7,1,297174942203918,0,0,0,0,297174942203918
11,18,1,297174942222232,0,0,0,0,297174942222232
20,5,1,297174942226473,0,0,0,0,297174942226473
19,6,1,297174942226538,0,0,0,0,297174942226538
16,5,5,297174942226681,0,0,269.847,269.847,297174942226681
22,5,5,297174942226683,0,0,837.237,837.237,297174942226683
4,27,1,297174942233739,0,0,0,0,297174942233739
12,17,1,297174942235950,0,0,0,0,297174942235950
17,8,1,297174942236872,0,0,0,0,297174942236872
1,31,1,297174942238438,0,0,0,0,297174942238438
20,5,2,297174942244000,0,838.015,0,838.015,297174942244000
16,5,2,297174942244001,0,838.015,269.847,1018.29,297174942244001
6,25,1,297174942247360,0,0,0,0,297174942247360
8,23,1,297174942253737,0,0,0,0,297174942253737
21,4,1,297174942255181,0,0,0,0,297174942255181
10,21,1,297174942256843,0,0,0,0,297174942256843
7,24,1,297174942267887,0,0,0,0,297174942267887
14,14,1,297174942275068,0,0,0,0,297174942275068
0,32,1,297174942285794,0,0,0,0,297174942285794
5,26,1,297174942295715,0,0,0,0,297174942295715
20,5,4,297174942359742,0,269.847,0.840192,270.108,297174942359742
22,5,4,297174942359745,0,269.847,836.47,1016.73,297174942359745
