nodeName, TxStationID, messageID, timestamp, x, y, delayDcc, T_GenCam, EarlyReq, CamType, 25m, 75m, 125m, 175m, 225m, 275m, 325m, 375m, 425m, 475m, 525m, 575m, 625m, 675m, 725m, 775m, 825m, 875m, 925m, 975m, 1025m, 1075m, 1125m, 1175m, 1225m, 1275m, 1325m, 1375m, 1425m, 1475m
node[179], 1081829912, 50, 5.025319, 99153830.000000, 54284060.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 7
node[467], 3698541889, 51, 5.025930, 99361780.000000, 54283740.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 9, 6, 7, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[468], 2890642881, 52, 5.027135, 99364650.000000, 54275050.000000, 0.000000, 1.000000, 0, 3, 0, 12, 10, 8, 6, 7, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[180], 3814285559, 53, 5.027523, 99156700.000000, 54275370.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 11
node[469], 2478612878, 54, 5.028393, 99364660.000000, 54277950.000000, -0.000000, 1.000000, 0, 3, 0, 17, 6, 8, 5, 7, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[181], 2492379097, 55, 5.028983, 99156710.000000, 54278270.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 8, 16, 12
node[470], 2015509150, 56, 5.029149, 99364660.000000, 54280840.000000, 6.593750, 1.000000, 0, 3, 0, 17, 6, 8, 5, 7, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[182], 765287773, 57, 5.029970, 99156710.000000, 54281160.000000, 45788805860305252629793507967817732610145402858756447887317477048137845310933788550508974592979497437763363889359878768472050817084024600466702927552396754825444948301379293756087214202561265648109952581067612472361971452563035611227665109477037818805616765296743204339580928.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 8, 16, 12
node[471], 3843706246, 58, 5.030173, 99364670.000000, 54283740.000000, 6.593750, 1.000000, 0, 3, 0, 12, 10, 8, 6, 7, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[183], 1998498808, 59, 5.030603, 99156710.000000, 54284060.000000, 6.593750, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 11
node[472], 4001375730, 60, 5.032069, 99367540.000000, 54275050.000000, 6.593750, 1.000000, 0, 3, 0, 10, 8, 8, 6, 7, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[184], 1704760473, 61, 5.032182, 99159590.000000, 54275370.000000, -nan, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 14
node[473], 712181157, 62, 5.033080, 99367550.000000, 54277940.000000, 6.593750, 1.000000, 0, 3, 0, 14, 5, 8, 5, 7, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[185], 1080579408, 63, 5.033320, 99159590.000000, 54278260.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 8, 16, 16
node[474], 1204411438, 64, 5.034967, 99367550.000000, 54280840.000000, 0.000000, 1.000000, 0, 3, 0, 14, 5, 8, 5, 7, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[187], 3001182222, 65, 5.035706, 99159600.000000, 54284050.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 14
node[475], 2926050884, 66, 5.035722, 99367560.000000, 54283730.000000, 0.000000, 1.000000, 0, 3, 0, 10, 8, 8, 6, 7, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[476], 1758935701, 67, 5.037928, 99370430.000000, 54275040.000000, 6.593750, 1.000000, 0, 3, 0, 7, 7, 8, 6, 7, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[477], 2217972922, 68, 5.038716, 99370440.000000, 54277940.000000, 6.593750, 1.000000, 0, 3, 0, 10, 5, 8, 5, 7, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[478], 3591876937, 69, 5.039774, 99370440.000000, 54280830.000000, 5885000000.000000, 1.000000, 0, 3, 0, 10, 5, 8, 5, 7, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[479], 3822463355, 70, 5.040464, 99370440.000000, 54283730.000000, 0.000000, 1.000000, 0, 3, 0, 7, 7, 8, 6, 7, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[272], 1705373097, 71, 5.042883, 99223130.000000, 54275270.000000, 12.210938, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 14
node[273], 1952185230, 72, 5.043321, 99223140.000000, 54278170.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 8, 16, 16
node[274], 1642522038, 73, 5.044908, 99223140.000000, 54281060.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 8, 16, 16
node[275], 2092701813, 74, 5.045783, 99223140.000000, 54283950.000000, 45788805860305252629793507967817732610145402858756447887317477048137845310933788550508974592979497437763363889359878768472050817084024600466702927552396754825444948301379293756087214202561265648109952581067612472361971452563035611227665109477037818805616765296743204339580928.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 14
node[276], 3579495517, 75, 5.047103, 99226020.000000, 54275270.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 14
node[277], 31980673, 76, 5.048546, 99226020.000000, 54278160.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 8, 16, 16
node[278], 773586385, 77, 5.049796, 99226030.000000, 54281060.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 8, 16, 16
node[279], 2301707565, 78, 5.050569, 99226030.000000, 54283950.000000, 6.593750, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 14
node[280], 2714847288, 79, 5.052862, 99228910.000000, 54275260.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 14, 10, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 12, 12, 16, 8, 16, 8, 16, 8, 16, 14
node[282], 587912267, 80, 5.054786, 99228920.000000, 54281050.000000, 6.593750, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 14, 10, 16, 8, 16, 8, 16, 8, 16, 16
node[435], 3623046766, 81, 5.065417, 99338670.000000, 54283780.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 12, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[437], 1558271663, 82, 5.068300, 99341550.000000, 54277980.000000, 6.593750, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 6, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[438], 2891040105, 83, 5.069726, 99341560.000000, 54280880.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 14, 6, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[439], 4078620438, 84, 5.070245, 99341560.000000, 54283770.000000, 6.593750, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 12, 8, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[440], 3318659948, 85, 5.072229, 99344440.000000, 54275080.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 10, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[441], 3995918816, 86, 5.073616, 99344440.000000, 54277980.000000, 6.593750, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 11, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[442], 1915032019, 87, 5.074453, 99344450.000000, 54280870.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 11, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[443], 2409709894, 88, 5.075670, 99344450.000000, 54283770.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 10, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[444], 3699255306, 89, 5.077138, 99347330.000000, 54275080.000000, 6.593750, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[446], 1522506426, 90, 5.079631, 99347330.000000, 54280870.000000, 6.593750, 1.000000, 0, 3, 0, 17, 10, 16, 10, 14, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[447], 1018273603, 91, 5.080294, 99347340.000000, 54283760.000000, 0.000000, 1.000000, 0, 3, 0, 12, 13, 16, 12, 14, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[448], 3047269046, 92, 5.082981, 99350210.000000, 54275080.000000, 6.593750, 1.000000, 0, 3, 0, 12, 13, 16, 12, 10, 6, 6, 7, 5, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 6, 6, 8, 4, 8, 4, 8, 4, 8, 7
node[449], 4111867431, 93, 5.083274, 99350220.000000, 54277970.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 10, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[450], 2907960516, 94, 5.084044, 99350220.000000, 54280860.000000, 0.000000, 1.000000, 0, 3, 0, 17, 10, 16, 10, 10, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
node[2], 1171049868, 95, 5.084792, 99026740.000000, 54281360.000000, 0.000000, 1.000000, 0, 3, 0, 10, 5, 8, 5, 7, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 7, 5, 8, 4, 8, 4, 8, 4, 8, 8
